query_time,place_id,lat,lon,bikes,empty_docks,docks
2022-06-16T00:12:40.299850,BikePoints_1,51.529163,-0.10997,8,11,19
2022-06-16T00:12:40.299850,BikePoints_2,51.499606,-0.197574,14,20,37
2022-06-16T00:12:40.299850,BikePoints_3,51.521283,-0.084605,1,31,32
2022-06-16T00:12:40.299850,BikePoints_4,51.530059,-0.120973,21,2,23
2022-06-16T00:12:40.299850,BikePoints_5,51.49313,-0.156876,1,24,27
2022-06-16T00:12:40.299850,BikePoints_6,51.518117,-0.144228,0,18,18
2022-06-16T00:12:40.299850,BikePoints_7,51.5343,-0.168074,10,6,16
2022-06-16T00:12:40.299850,BikePoints_8,51.529857,-0.183486,35,3,39
2022-06-16T00:12:40.299850,BikePoints_9,51.507385,-0.09644,5,14,19
2022-06-16T00:12:40.299850,BikePoints_10,51.505974,-0.092754,5,13,18
2022-06-16T00:12:40.299850,BikePoints_11,51.523951,-0.122502,0,23,24
2022-06-16T00:12:40.299850,BikePoints_12,51.52168,-0.130431,0,48,49
2022-06-16T00:12:40.299850,BikePoints_13,51.519914,-0.136039,0,20,21
2022-06-16T00:12:40.299850,BikePoints_14,51.529943,-0.123616,28,16,48
2022-06-16T00:12:40.299850,BikePoints_15,51.517727,-0.127854,0,26,26
2022-06-16T00:12:40.299850,BikePoints_16,51.526357,-0.125979,2,19,21
2022-06-16T00:12:40.299850,BikePoints_17,51.521661,-0.109006,0,25,25
2022-06-16T00:12:40.299850,BikePoints_18,51.51477,-0.122219,0,27,27
2022-06-16T00:12:40.299850,BikePoints_19,51.52505,-0.131161,0,29,30
2022-06-16T00:12:40.299850,BikePoints_20,51.527326,-0.136052,13,15,28
2022-06-16T00:12:40.299850,BikePoints_21,51.539834,-0.062806,24,1,26
2022-06-16T00:12:40.299850,BikePoints_22,51.522264,-0.114079,1,16,19
2022-06-16T00:12:40.299850,BikePoints_23,51.519435,-0.119123,0,16,16
2022-06-16T00:12:40.299850,BikePoints_24,51.51908,-0.124678,0,34,35
2022-06-16T00:12:40.299850,BikePoints_25,51.528833,-0.13225,28,22,50
2022-06-16T00:12:40.299850,BikePoints_26,51.52728,-0.118295,4,17,21
2022-06-16T00:12:40.299850,BikePoints_27,51.513821,-0.107927,0,30,33
2022-06-16T00:12:40.299850,BikePoints_28,51.523518,-0.143613,2,17,19
2022-06-16T00:12:40.299850,BikePoints_29,51.513735,-0.193487,20,2,22
2022-06-16T00:12:40.299850,BikePoints_30,51.529154,-0.093421,19,4,24
2022-06-16T00:12:40.299850,BikePoints_31,51.529537,-0.083353,7,28,36
2022-06-16T00:12:40.299850,BikePoints_32,51.524696,-0.084439,1,41,43
2022-06-16T00:12:40.299850,BikePoints_33,51.515231,-0.07015,1,16,18
2022-06-16T00:12:40.299850,BikePoints_34,51.534123,-0.129386,1,15,16
2022-06-16T00:12:40.299850,BikePoints_36,51.501737,-0.18498,1,26,28
2022-06-16T00:12:40.299850,BikePoints_37,51.491593,-0.192369,15,2,17
2022-06-16T00:12:40.299850,BikePoints_38,51.497387,-0.197245,16,1,17
2022-06-16T00:12:40.299850,BikePoints_39,51.526377,-0.07813,1,38,41
2022-06-16T00:12:40.299850,BikePoints_40,51.52127,-0.075578,0,15,16
2022-06-16T00:12:40.299850,BikePoints_41,51.520955,-0.083493,0,24,24
2022-06-16T00:12:40.299850,BikePoints_42,51.530991,-0.093903,27,0,28
2022-06-16T00:12:40.299850,BikePoints_43,51.52026,-0.157183,0,18,18
2022-06-16T00:12:40.299850,BikePoints_44,51.510736,-0.144165,0,21,21
2022-06-16T00:12:40.299850,BikePoints_45,51.522511,-0.162298,10,13,26
2022-06-16T00:12:40.299850,BikePoints_46,51.507131,-0.06691,15,0,16
2022-06-16T00:12:40.299850,BikePoints_47,51.523344,-0.183846,16,0,19
2022-06-16T00:12:40.299850,BikePoints_48,51.512484,-0.099141,0,24,25
2022-06-16T00:12:40.299850,BikePoints_49,51.507069,-0.145904,0,15,16
2022-06-16T00:12:40.299850,BikePoints_50,51.528673,-0.087459,4,23,27
2022-06-16T00:12:40.299850,BikePoints_51,51.526717,-0.104298,25,2,29
2022-06-16T00:12:40.299850,BikePoints_52,51.522954,-0.094934,2,16,18
2022-06-16T00:12:40.299850,BikePoints_53,51.509992,-0.143495,0,18,18
2022-06-16T00:12:40.299850,BikePoints_54,51.521747,-0.094475,2,25,27
2022-06-16T00:12:40.299850,BikePoints_55,51.517075,-0.086685,0,33,33
2022-06-16T00:12:40.299850,BikePoints_56,51.520583,-0.154701,0,16,16
2022-06-16T00:12:40.299850,BikePoints_57,51.523346,-0.120202,2,30,32
2022-06-16T00:12:40.299850,BikePoints_58,51.524526,-0.079248,0,20,20
2022-06-16T00:12:40.299850,BikePoints_60,51.526448,-0.17219,18,0,18
2022-06-16T00:12:40.299850,BikePoints_61,51.497382,-0.089446,30,1,33
2022-06-16T00:12:40.299850,BikePoints_62,51.490757,-0.106323,24,0,24
2022-06-16T00:12:40.299850,BikePoints_63,51.53089,-0.089782,14,12,27
2022-06-16T00:12:40.299850,BikePoints_64,51.509462,-0.124749,0,26,26
2022-06-16T00:12:40.299850,BikePoints_66,51.51795,-0.108657,0,39,40
2022-06-16T00:12:40.299850,BikePoints_67,51.518825,-0.108028,0,28,28
2022-06-16T00:12:40.299850,BikePoints_68,51.520596,-0.116688,0,25,26
2022-06-16T00:12:40.299850,BikePoints_69,51.526236,-0.134407,3,21,24
2022-06-16T00:12:40.299850,BikePoints_70,51.53136,-0.117069,10,14,24
2022-06-16T00:12:40.299850,BikePoints_71,51.515418,-0.09885,0,34,34
2022-06-16T00:12:40.299850,BikePoints_72,51.52352,-0.10834,0,16,16
2022-06-16T00:12:40.299850,BikePoints_73,51.52548,-0.089659,1,27,29
2022-06-16T00:12:40.299850,BikePoints_74,51.485917,-0.124469,14,1,17
2022-06-16T00:12:40.299850,BikePoints_75,51.532199,-0.10548,0,18,19
2022-06-16T00:12:40.299850,BikePoints_76,51.525595,-0.144083,1,20,21
2022-06-16T00:12:40.299850,BikePoints_77,51.523418,-0.124121,0,26,26
2022-06-16T00:12:40.299850,BikePoints_78,51.524868,-0.099489,7,10,17
2022-06-16T00:12:40.299850,BikePoints_79,51.511726,-0.113855,0,18,18
2022-06-16T00:12:40.299850,BikePoints_80,51.500693,-0.102091,40,3,45
2022-06-16T00:12:40.299850,BikePoints_81,51.520253,-0.141327,0,19,19
2022-06-16T00:12:40.299850,BikePoints_82,51.514274,-0.111257,0,15,15
2022-06-16T00:12:40.299850,BikePoints_83,51.509639,-0.13151,0,19,21
2022-06-16T00:12:40.299850,BikePoints_84,51.515937,-0.111778,0,25,25
2022-06-16T00:12:40.299850,BikePoints_339,51.533319,-0.111781,4,12,25
2022-06-16T00:12:40.299850,BikePoints_340,51.514441,-0.087587,0,16,16
2022-06-16T00:12:40.299850,BikePoints_341,51.508103,-0.126021,0,22,23
2022-06-16T00:12:40.299850,BikePoints_343,51.536922,-0.150181,16,19,36
2022-06-16T00:12:40.299850,BikePoints_344,51.528246,-0.101026,5,11,17
2022-06-16T00:12:40.299850,BikePoints_345,51.488023,-0.166878,6,27,33
2022-06-16T00:12:40.299850,BikePoints_347,51.500139,-0.113936,9,6,17
2022-06-16T00:12:40.299850,BikePoints_348,51.51217,-0.150481,0,16,17
2022-06-16T00:12:40.299850,BikePoints_349,51.51196,-0.142783,0,18,18
2022-06-16T00:12:40.299850,BikePoints_350,51.501715,-0.179854,12,6,21
2022-06-16T00:12:40.299850,BikePoints_351,51.529423,-0.097122,27,0,28
2022-06-16T00:12:40.299850,BikePoints_352,51.486965,-0.116625,19,0,19
2022-06-16T00:12:40.299850,BikePoints_353,51.494591,-0.134234,7,10,17
2022-06-16T00:12:40.299850,BikePoints_354,51.506767,-0.123702,6,31,37
2022-06-16T00:12:40.299850,BikePoints_355,51.461388,-0.139221,0,19,21
2022-06-16T00:12:40.299850,BikePoints_356,51.494412,-0.173881,0,14,15
2022-06-16T00:12:40.299850,BikePoints_357,51.520994,-0.139016,7,22,30
2022-06-16T00:12:40.299850,BikePoints_358,51.516226,-0.124826,0,20,20
2022-06-16T00:12:40.299850,BikePoints_359,51.497829,-0.13544,0,15,18
2022-06-16T00:12:40.299850,BikePoints_360,51.496753,-0.138733,2,24,27
2022-06-16T00:12:40.299850,BikePoints_361,51.503919,-0.113426,54,0,55
2022-06-16T00:12:40.299850,BikePoints_362,51.536264,-0.133952,5,52,57
2022-06-16T00:12:40.299850,BikePoints_363,51.529121,-0.171185,3,21,24
2022-06-16T00:12:40.299850,BikePoints_364,51.519572,-0.13214,0,32,32
2022-06-16T00:12:40.299850,BikePoints_365,51.530344,-0.100168,24,22,47
2022-06-16T00:12:40.299850,BikePoints_367,51.517372,-0.164207,1,14,16
2022-06-16T00:12:40.299850,BikePoints_368,51.500241,-0.15934,17,7,25
2022-06-16T00:12:40.299850,BikePoints_370,51.520205,-0.174593,4,15,20
2022-06-16T00:12:40.299850,BikePoints_371,51.49775,-0.10988,13,9,22
2022-06-16T00:12:40.299850,BikePoints_372,51.515208,-0.117863,0,23,24
2022-06-16T00:12:40.299850,BikePoints_373,51.499806,-0.176415,0,18,18
2022-06-16T00:12:40.299850,BikePoints_374,51.504027,-0.113864,32,3,36
2022-06-16T00:12:40.299850,BikePoints_375,51.501945,-0.194392,2,14,18
2022-06-16T00:12:40.299850,BikePoints_376,51.491884,-0.125674,0,24,24
2022-06-16T00:12:40.299850,BikePoints_377,51.505354,-0.113656,11,4,15
2022-06-16T00:12:40.299850,BikePoints_378,51.495592,-0.179077,0,42,42
2022-06-16T00:12:40.299850,BikePoints_379,51.514311,-0.200838,16,5,21
2022-06-16T00:12:40.299850,BikePoints_380,51.506864,-0.150666,0,21,21
2022-06-16T00:12:40.299850,BikePoints_381,51.51953,-0.135777,0,14,14
2022-06-16T00:12:40.299850,BikePoints_382,51.509351,-0.147449,0,14,15
2022-06-16T00:12:40.299850,BikePoints_383,51.513103,-0.131213,0,18,18
2022-06-16T00:12:40.299850,BikePoints_384,51.496481,-0.192404,7,8,15
2022-06-16T00:12:40.299850,BikePoints_386,51.513527,-0.13011,0,16,16
2022-06-16T00:12:40.299850,BikePoints_387,51.493699,-0.121394,14,15,30
2022-06-16T00:12:40.299850,BikePoints_388,51.510701,-0.121723,0,13,14
2022-06-16T00:12:40.299850,BikePoints_389,51.51013,-0.155757,0,18,18
2022-06-16T00:12:40.299850,BikePoints_390,51.521776,-0.068856,10,31,41
2022-06-16T00:12:40.299850,BikePoints_391,51.510662,-0.142345,0,17,17
2022-06-16T00:12:40.299850,BikePoints_392,51.499428,-0.179702,2,19,21
2022-06-16T00:12:40.299850,BikePoints_393,51.517334,-0.103604,0,14,15
2022-06-16T00:12:40.299850,BikePoints_394,51.524826,-0.176268,9,9,18
2022-06-16T00:12:40.299850,BikePoints_395,51.492462,-0.159919,2,12,15
2022-06-16T00:12:40.299850,BikePoints_396,51.51809,-0.163609,1,13,16
2022-06-16T00:12:40.299850,BikePoints_397,51.51348,-0.17977,15,1,16
2022-06-16T00:12:40.299850,BikePoints_398,51.502319,-0.200742,1,29,30
2022-06-16T00:12:40.299850,BikePoints_399,51.522617,-0.071653,10,13,24
2022-06-16T00:12:40.299850,BikePoints_400,51.517703,-0.154106,0,26,26
2022-06-16T00:12:40.299850,BikePoints_401,51.528187,-0.075375,19,4,24
2022-06-16T00:12:40.299850,BikePoints_402,51.522892,-0.171681,5,10,15
2022-06-16T00:12:40.299850,BikePoints_403,51.516892,-0.158249,1,14,16
2022-06-16T00:12:40.299850,BikePoints_404,51.502042,-0.1844,4,7,13
2022-06-16T00:12:40.299850,BikePoints_405,51.494185,-0.18267,2,13,15
2022-06-16T00:12:40.299850,BikePoints_408,51.520009,-0.083935,0,24,24
2022-06-16T00:12:40.299850,BikePoints_409,51.493146,-0.099828,38,1,41
2022-06-16T00:12:40.299850,BikePoints_410,51.519968,-0.169774,3,61,64
2022-06-16T00:12:40.299850,BikePoints_411,51.499169,-0.055846,19,0,19
2022-06-16T00:12:40.299850,BikePoints_412,51.488105,-0.110121,17,0,17
2022-06-16T00:12:40.299850,BikePoints_419,51.485821,-0.149004,0,15,15
2022-06-16T00:12:40.299850,BikePoints_420,51.504043,-0.105312,21,16,37
2022-06-16T00:12:40.299850,BikePoints_421,51.504044,-0.104778,0,44,45
2022-06-16T00:12:40.299850,BikePoints_423,51.494561,-0.153933,24,5,31
2022-06-16T00:12:40.299850,BikePoints_424,51.490491,-0.149186,14,15,29
