query_time,place_id,lat,lon,bikes,empty_docks,docks
2022-05-27T00:12:58.719970,BikePoints_1,51.529163,-0.10997,4,15,19
2022-05-27T00:12:58.719970,BikePoints_2,51.499606,-0.197574,16,21,37
2022-05-27T00:12:58.719970,BikePoints_3,51.521283,-0.084605,0,32,32
2022-05-27T00:12:58.719970,BikePoints_4,51.530059,-0.120973,19,4,23
2022-05-27T00:12:58.719970,BikePoints_5,51.49313,-0.156876,6,21,27
2022-05-27T00:12:58.719970,BikePoints_6,51.518117,-0.144228,0,18,18
2022-05-27T00:12:58.719970,BikePoints_7,51.5343,-0.168074,16,0,16
2022-05-27T00:12:58.719970,BikePoints_8,51.529857,-0.183486,31,8,39
2022-05-27T00:12:58.719970,BikePoints_9,51.507385,-0.09644,0,19,19
2022-05-27T00:12:58.719970,BikePoints_10,51.505974,-0.092754,2,16,18
2022-05-27T00:12:58.719970,BikePoints_11,51.523951,-0.122502,0,23,24
2022-05-27T00:12:58.719970,BikePoints_12,51.52168,-0.130431,1,48,49
2022-05-27T00:12:58.719970,BikePoints_13,51.519914,-0.136039,0,20,21
2022-05-27T00:12:58.719970,BikePoints_14,51.529943,-0.123616,39,8,48
2022-05-27T00:12:58.719970,BikePoints_15,51.517727,-0.127854,2,23,26
2022-05-27T00:12:58.719970,BikePoints_16,51.526357,-0.125979,2,19,21
2022-05-27T00:12:58.719970,BikePoints_17,51.521661,-0.109006,0,25,25
2022-05-27T00:12:58.719970,BikePoints_18,51.51477,-0.122219,0,26,27
2022-05-27T00:12:58.719970,BikePoints_19,51.52505,-0.131161,5,25,30
2022-05-27T00:12:58.719970,BikePoints_20,51.527326,-0.136052,9,19,28
2022-05-27T00:12:58.719970,BikePoints_21,51.539834,-0.062806,17,8,26
2022-05-27T00:12:58.719970,BikePoints_22,51.522264,-0.114079,0,19,19
2022-05-27T00:12:58.719970,BikePoints_23,51.519435,-0.119123,0,14,16
2022-05-27T00:12:58.719970,BikePoints_24,51.51908,-0.124678,4,31,35
2022-05-27T00:12:58.719970,BikePoints_25,51.528833,-0.13225,31,19,50
2022-05-27T00:12:58.719970,BikePoints_26,51.52728,-0.118295,5,15,21
2022-05-27T00:12:58.719970,BikePoints_27,51.513821,-0.107927,6,27,33
2022-05-27T00:12:58.719970,BikePoints_28,51.523518,-0.143613,2,17,19
2022-05-27T00:12:58.719970,BikePoints_29,51.513735,-0.193487,17,5,22
2022-05-27T00:12:58.719970,BikePoints_30,51.529154,-0.093421,5,19,24
2022-05-27T00:12:58.719970,BikePoints_31,51.529537,-0.083353,22,13,36
2022-05-27T00:12:58.719970,BikePoints_32,51.524696,-0.084439,1,41,43
2022-05-27T00:12:58.719970,BikePoints_33,51.515231,-0.07015,3,15,18
2022-05-27T00:12:58.719970,BikePoints_34,51.534123,-0.129386,7,9,16
2022-05-27T00:12:58.719970,BikePoints_36,51.501737,-0.18498,2,26,28
2022-05-27T00:12:58.719970,BikePoints_37,51.491593,-0.192369,15,2,17
2022-05-27T00:12:58.719970,BikePoints_38,51.497387,-0.197245,7,10,17
2022-05-27T00:12:58.719970,BikePoints_39,51.526377,-0.07813,5,33,41
2022-05-27T00:12:58.719970,BikePoints_40,51.52127,-0.075578,0,16,16
2022-05-27T00:12:58.719970,BikePoints_41,51.520955,-0.083493,0,23,24
2022-05-27T00:12:58.719970,BikePoints_42,51.530991,-0.093903,16,12,28
2022-05-27T00:12:58.719970,BikePoints_43,51.52026,-0.157183,3,15,18
2022-05-27T00:12:58.719970,BikePoints_44,51.510736,-0.144165,0,21,21
2022-05-27T00:12:58.719970,BikePoints_45,51.522511,-0.162298,26,0,26
2022-05-27T00:12:58.719970,BikePoints_46,51.507131,-0.06691,10,6,16
2022-05-27T00:12:58.719970,BikePoints_47,51.523344,-0.183846,16,2,19
2022-05-27T00:12:58.719970,BikePoints_48,51.512484,-0.099141,0,23,25
2022-05-27T00:12:58.719970,BikePoints_49,51.507069,-0.145904,0,16,16
2022-05-27T00:12:58.719970,BikePoints_50,51.528673,-0.087459,15,12,27
2022-05-27T00:12:58.719970,BikePoints_51,51.526717,-0.104298,15,13,29
2022-05-27T00:12:58.719970,BikePoints_52,51.522954,-0.094934,3,15,18
2022-05-27T00:12:58.719970,BikePoints_53,51.509992,-0.143495,0,18,18
2022-05-27T00:12:58.719970,BikePoints_54,51.521747,-0.094475,1,26,27
2022-05-27T00:12:58.719970,BikePoints_55,51.517075,-0.086685,0,33,33
2022-05-27T00:12:58.719970,BikePoints_56,51.520583,-0.154701,0,16,16
2022-05-27T00:12:58.719970,BikePoints_57,51.523346,-0.120202,0,32,32
2022-05-27T00:12:58.719970,BikePoints_58,51.524526,-0.079248,2,17,20
2022-05-27T00:12:58.719970,BikePoints_60,51.526448,-0.17219,1,17,18
2022-05-27T00:12:58.719970,BikePoints_61,51.497382,-0.089446,33,0,33
2022-05-27T00:12:58.719970,BikePoints_62,51.490757,-0.106323,14,10,24
2022-05-27T00:12:58.719970,BikePoints_63,51.53089,-0.089782,15,11,27
2022-05-27T00:12:58.719970,BikePoints_64,51.509462,-0.124749,13,13,26
2022-05-27T00:12:58.719970,BikePoints_66,51.51795,-0.108657,0,39,40
2022-05-27T00:12:58.719970,BikePoints_67,51.518825,-0.108028,0,28,28
2022-05-27T00:12:58.719970,BikePoints_68,51.520596,-0.116688,2,23,26
2022-05-27T00:12:58.719970,BikePoints_69,51.526236,-0.134407,4,19,24
2022-05-27T00:12:58.719970,BikePoints_70,51.53136,-0.117069,3,21,24
2022-05-27T00:12:58.719970,BikePoints_71,51.515418,-0.09885,0,32,34
2022-05-27T00:12:58.719970,BikePoints_72,51.52352,-0.10834,4,11,16
2022-05-27T00:12:58.719970,BikePoints_73,51.52548,-0.089659,0,29,29
2022-05-27T00:12:58.719970,BikePoints_74,51.485917,-0.124469,14,3,17
2022-05-27T00:12:58.719970,BikePoints_75,51.532199,-0.10548,15,4,19
2022-05-27T00:12:58.719970,BikePoints_76,51.525595,-0.144083,2,19,21
2022-05-27T00:12:58.719970,BikePoints_77,51.523418,-0.124121,2,24,26
2022-05-27T00:12:58.719970,BikePoints_78,51.524868,-0.099489,1,16,17
2022-05-27T00:12:58.719970,BikePoints_79,51.511726,-0.113855,4,14,18
2022-05-27T00:12:58.719970,BikePoints_80,51.500693,-0.102091,38,7,45
2022-05-27T00:12:58.719970,BikePoints_81,51.520253,-0.141327,0,18,19
2022-05-27T00:12:58.719970,BikePoints_82,51.514274,-0.111257,0,15,15
2022-05-27T00:12:58.719970,BikePoints_83,51.509639,-0.13151,0,19,21
2022-05-27T00:12:58.719970,BikePoints_84,51.515937,-0.111778,0,25,25
2022-05-27T00:12:58.719970,BikePoints_338,51.511756,-0.119643,0,23,24
2022-05-27T00:12:58.719970,BikePoints_339,51.533319,-0.111781,0,15,25
2022-05-27T00:12:58.719970,BikePoints_340,51.514441,-0.087587,1,13,16
2022-05-27T00:12:58.719970,BikePoints_341,51.508103,-0.126021,5,17,23
2022-05-27T00:12:58.719970,BikePoints_343,51.536922,-0.150181,3,33,36
2022-05-27T00:12:58.719970,BikePoints_344,51.528246,-0.101026,9,7,17
2022-05-27T00:12:58.719970,BikePoints_345,51.488023,-0.166878,18,15,33
2022-05-27T00:12:58.719970,BikePoints_347,51.500139,-0.113936,17,0,17
2022-05-27T00:12:58.719970,BikePoints_348,51.51217,-0.150481,2,15,17
2022-05-27T00:12:58.719970,BikePoints_349,51.51196,-0.142783,0,16,18
2022-05-27T00:12:58.719970,BikePoints_350,51.501715,-0.179854,1,20,21
2022-05-27T00:12:58.719970,BikePoints_351,51.529423,-0.097122,27,1,28
2022-05-27T00:12:58.719970,BikePoints_352,51.486965,-0.116625,19,0,19
2022-05-27T00:12:58.719970,BikePoints_353,51.494591,-0.134234,8,8,17
2022-05-27T00:12:58.719970,BikePoints_354,51.506767,-0.123702,19,18,37
2022-05-27T00:12:58.719970,BikePoints_355,51.461388,-0.139221,9,12,21
2022-05-27T00:12:58.719970,BikePoints_356,51.494412,-0.173881,2,13,15
2022-05-27T00:12:58.719970,BikePoints_357,51.520994,-0.139016,4,26,30
2022-05-27T00:12:58.719970,BikePoints_358,51.516226,-0.124826,2,18,20
2022-05-27T00:12:58.719970,BikePoints_359,51.497829,-0.13544,2,15,18
